race,sentence,sentence_severity,sentence_severity_3,worst_crime_display,sex,wc_bucket,diff_conv_ex
Black,2 to 5 years,No,Some prison sentence,Drug Possession or Sale,Male,b5,6
Black,25 to Life,No,Some prison sentence,Murder,Male,b1,16
White,3 years and 8 months,No,Some prison sentence,Drug Possession or Sale,Male,b5,5
Black,3 years,No,Some prison sentence,Drug Possession or Sale,Male,b5,3
Hispanic,Death,Yes,Life in prison/death,Murder,Male,b1,25
Hispanic,22 to life,No,Some prison sentence,Robbery,Male,b2,5
White,Life without parole,Yes,Life in prison/death,Murder,Male,b1,18
Black,Life without parole,Yes,Life in prison/death,Murder,Male,b1,11
White,243 years,No,Some prison sentence,Sexual Assault,Male,b1,28
White,15 days,No,Some prison sentence,Drug Possession or Sale,Female,b5,0
Black,Life,Yes,Life in prison/death,Drug Possession or Sale,Female,b5,24
Hispanic,23 to Life,No,Some prison sentence,Murder,Male,b1,17
Black,Life,Yes,Life in prison/death,Murder,Male,b1,22
White,Life without parole,Yes,Life in prison/death,Murder,Male,b1,16
Black,Life without parole,Yes,Life in prison/death,Murder,Male,b1,24
Black,35 years,No,Some prison sentence,Sexual Assault,Male,b1,8
Black,50 years,No,Some prison sentence,Sexual Assault,Male,b1,12
Black,Unknown,No,Probation/not sentenced/unknown,Drug Possession or Sale,Male,b5,2
White,25 to Life,No,Some prison sentence,Murder,Male,b1,7
Black,Life,Yes,Life in prison/death,Child Sex Abuse,Male,b2,16
Black,25 to Life,No,Some prison sentence,Attempted Murder,Male,b1,22
White,55 years,No,Some prison sentence,Murder,Male,b1,31
Black,30 days,No,Some prison sentence,Drug Possession or Sale,Male,b5,8
Black,3 years,No,Some prison sentence,Sex Offender Registration,Male,b5,0
Black,Life,Yes,Life in prison/death,Murder,Male,b1,30
White,Probation,No,Probation/not sentenced/unknown,Theft,Female,b4,1
White,40 years,No,Some prison sentence,Murder,Male,b1,13
Black,60 years,No,Some prison sentence,Murder,Male,b1,15
Black,Life,Yes,Life in prison/death,Murder,Male,b1,31
Black,40 years,No,Some prison sentence,Child Sex Abuse,Male,b2,14
Black,4 years,No,Some prison sentence,Drug Possession or Sale,Male,b5,13
White,Death,Yes,Life in prison/death,Murder,Male,b1,14
White,25 to life,No,Some prison sentence,Murder,Male,b1,4
Black,36 to Life,No,Some prison sentence,Murder,Male,b1,7
Black,60 days,No,Some prison sentence,Drug Possession or Sale,Male,b5,7
White,Life,Yes,Life in prison/death,Murder,Male,b1,15
White,Death,Yes,Life in prison/death,Murder,Male,b1,8
Black,40 years,No,Some prison sentence,Attempted Murder,Female,b1,7
White,Probation,No,Probation/not sentenced/unknown,Theft,Female,b4,4
Black,6 years,No,Some prison sentence,Bribery,Male,b6,58
Black,Life without parole,Yes,Life in prison/death,Murder,Male,b1,20
Black,2 years and 6 months,No,Some prison sentence,Drug Possession or Sale,Male,b5,16
White,48 years and 4 months,No,Some prison sentence,Robbery,Male,b2,8
White,20 years,No,Some prison sentence,Sexual Assault,Male,b1,8
Black,50 years to life,No,Some prison sentence,Murder,Male,b1,21
Black,Not sentenced,No,Probation/not sentenced/unknown,Conspiracy,Male,b7,3
Black,Life without parole,Yes,Life in prison/death,Murder,Male,b1,36
Black,Probation,No,Probation/not sentenced/unknown,Drug Possession or Sale,Female,b5,14
Black,10 to 25 years,No,Some prison sentence,Sexual Assault,Male,b1,18
White,Probation,No,Probation/not sentenced/unknown,Child Sex Abuse,Male,b2,24
Black,25 years,No,Some prison sentence,Robbery,Male,b2,7
Black,15 to Life,No,Some prison sentence,Murder,Male,b1,6
White,20 to Life,No,Some prison sentence,Murder,Male,b1,8
Hispanic,65 years,No,Some prison sentence,Sexual Assault,Male,b1,23
Black,8 years,No,Some prison sentence,Sexual Assault,Male,b1,18
Black,5 to 10 years,No,Some prison sentence,Manslaughter,Female,b1,3
White,45 years,No,Some prison sentence,Murder,Male,b1,22
Black,Life,Yes,Life in prison/death,Murder,Male,b1,15
White,Life,Yes,Life in prison/death,Murder,Male,b1,22
Black,20 years to Life,No,Some prison sentence,Murder,Male,b1,44
Black,Probation,No,Probation/not sentenced/unknown,Drug Possession or Sale,Male,b5,17
Black,Life,Yes,Life in prison/death,Murder,Male,b1,14
Black,82 years,No,Some prison sentence,Murder,Male,b1,23
Black,12 1/2 to 25 years,No,Some prison sentence,Attempted Murder,Male,b1,17
Black,20 to Life,No,Some prison sentence,Murder,Male,b1,26
Black,12 years,No,Some prison sentence,Kidnapping,Male,b3,13
Black,4 years and 9 months,No,Some prison sentence,Other Violent Felony,Male,b3,5
Native American,10 years,No,Some prison sentence,Sexual Assault,Male,b1,14
White,10 years,No,Some prison sentence,Assault,Male,b2,4
White,Probation,No,Probation/not sentenced/unknown,Assault,Male,b2,3
Black,Probation,No,Probation/not sentenced/unknown,Drug Possession or Sale,Male,b5,12
Black,Probation,No,Probation/not sentenced/unknown,Drug Possession or Sale,Male,b5,14
Black,20 years,No,Some prison sentence,Assault,Male,b2,5
Black,30 years,No,Some prison sentence,Sexual Assault,Male,b1,11
Black,Life,Yes,Life in prison/death,Drug Possession or Sale,Male,b5,4
Black,6 years,No,Some prison sentence,Drug Possession or Sale,Male,b5,14
Black,25 years,No,Some prison sentence,Murder,Male,b1,12
White,20 years,No,Some prison sentence,Murder,Male,b1,3
Black,Death,Yes,Life in prison/death,Murder,Male,b1,9
White,Life,Yes,Life in prison/death,Murder,Male,b1,14
Black,20 to 40 years,No,Some prison sentence,Drug Possession or Sale,Male,b5,7
Hispanic,8 years,No,Some prison sentence,Sexual Assault,Male,b1,4
Black,2 years,No,Some prison sentence,Drug Possession or Sale,Male,b5,14
Black,2 years,No,Some prison sentence,Drug Possession or Sale,Male,b5,18
Black,15 years,No,Some prison sentence,Robbery,Male,b2,24
White,Not sentenced,No,Probation/not sentenced/unknown,Fraud,Male,b6,1
Black,Death,Yes,Life in prison/death,Murder,Male,b1,13
Black,Death,Yes,Life in prison/death,Murder,Male,b1,39
White,Life,Yes,Life in prison/death,Sexual Assault,Male,b1,25
White,17 years,No,Some prison sentence,Child Abuse,Female,b2,6
Black,Death,Yes,Life in prison/death,Murder,Male,b1,8
Black,Life,Yes,Life in prison/death,Murder,Male,b1,27
Black,60 years,No,Some prison sentence,Robbery,Male,b2,8
Black,Not sentenced,No,Probation/not sentenced/unknown,Assault,Female,b2,0
Black,18 years,No,Some prison sentence,Robbery,Male,b2,10
Black,45 years,No,Some prison sentence,Sexual Assault,Male,b1,23
Black,Not sentenced,No,Probation/not sentenced/unknown,Robbery,Male,b2,1
Black,18 to 42 years,No,Some prison sentence,Sexual Assault,Male,b1,3
Black,30 years,No,Some prison sentence,Child Sex Abuse,Male,b2,9
White,25 to 30 3/4 years,No,Some prison sentence,Child Sex Abuse,Male,b2,4
Black,50 years,No,Some prison sentence,Sexual Assault,Male,b1,18
Black,8 1/3 to 25 years,No,Some prison sentence,Sexual Assault,Male,b1,39
White,Life,Yes,Life in prison/death,Child Sex Abuse,Male,b2,8
Black,Not sentenced,No,Probation/not sentenced/unknown,Theft,Male,b4,0
Black,Life,Yes,Life in prison/death,Child Sex Abuse,Male,b2,19
White,5 years,No,Some prison sentence,Child Sex Abuse,Male,b2,17
White,40 years,No,Some prison sentence,Child Sex Abuse,Male,b2,15
Black,20 years,No,Some prison sentence,Drug Possession or Sale,Male,b5,3
Black,Life without parole,Yes,Life in prison/death,Murder,Male,b1,45
Black,6 months,No,Some prison sentence,Drug Possession or Sale,Female,b5,4
Black,22 years,No,Some prison sentence,Child Sex Abuse,Male,b2,13
Black,Life without parole,Yes,Life in prison/death,Murder,Male,b1,16
Black,6 months,No,Some prison sentence,Drug Possession or Sale,Male,b5,0
Black,4 years,No,Some prison sentence,Sexual Assault,Male,b1,7
Black,18 years,No,Some prison sentence,Drug Possession or Sale,Male,b5,5
Black,Death,Yes,Life in prison/death,Murder,Male,b1,10
Black,Life without parole,Yes,Life in prison/death,Murder,Male,b1,27
Black,1 year and 2 months,No,Some prison sentence,"Attempt, Violent",Male,b3,3
Black,6 years,No,Some prison sentence,Drug Possession or Sale,Female,b5,1
Black,Life,Yes,Life in prison/death,Murder,Male,b1,19
White,Life,Yes,Life in prison/death,Murder,Female,b1,18
Black,Life,Yes,Life in prison/death,Sexual Assault,Male,b1,20
Black,2 to 4 years,No,Some prison sentence,Weapon Possession or Sale,Male,NA,1
Black,50 years to Life,No,Some prison sentence,Murder,Male,b1,9
Black,3 years,No,Some prison sentence,Drug Possession or Sale,Male,b5,14
White,6 months,No,Some prison sentence,Sex Offender Registration,Male,b5,5
Black,25 to Life,No,Some prison sentence,Murder,Female,b1,10
Black,Life,Yes,Life in prison/death,Murder,Male,b1,28
Black,5 to 6 3/4 years,No,Some prison sentence,Child Sex Abuse,Male,b2,7
Black,35 years,No,Some prison sentence,Sexual Assault,Male,b1,6
Black,Life without parole,Yes,Life in prison/death,Murder,Male,b1,12
Black,Death,Yes,Life in prison/death,Murder,Male,b1,30
Black,35 years,No,Some prison sentence,Murder,Male,b1,7
Black,25 years,No,Some prison sentence,Sexual Assault,Male,b1,17
Black,22 to 70 years,No,Some prison sentence,Robbery,Male,b2,8
Black,35 years,No,Some prison sentence,Murder,Male,b1,5
Black,45 years,No,Some prison sentence,Assault,Male,b2,15
White,25 to Life,No,Some prison sentence,Murder,Male,b1,15
Black,8 years and 4 months to 30 years,No,Some prison sentence,Manslaughter,Male,b1,11
Black,Death,Yes,Life in prison/death,Murder,Male,b1,26
Black,Life,Yes,Life in prison/death,Murder,Male,b1,10
Black,Life,Yes,Life in prison/death,Murder,Male,b1,8
Black,10 to 35 years,No,Some prison sentence,Drug Possession or Sale,Male,b5,30
Black,Death,Yes,Life in prison/death,Murder,Male,b1,34
Black,25 to life,No,Some prison sentence,Murder,Male,b1,25
Black,Life without parole,Yes,Life in prison/death,Murder,Male,b1,6
White,Life,Yes,Life in prison/death,Murder,Female,b1,2
Black,30 years,No,Some prison sentence,Robbery,Male,b2,8
Black,25 to Life,No,Some prison sentence,Murder,Male,b1,43
Black,12 years,No,Some prison sentence,Drug Possession or Sale,Male,b5,3
Black,Life,Yes,Life in prison/death,Murder,Male,b1,17
White,85 years,No,Some prison sentence,Sexual Assault,Male,b1,20
Black,50 to life,No,Some prison sentence,Murder,Male,b1,23
White,10 years and 3 months,No,Some prison sentence,Murder,Female,b1,4
White,Life without parole,Yes,Life in prison/death,Murder,Male,b1,10
Black,Life,Yes,Life in prison/death,Drug Possession or Sale,Male,b5,11
Hispanic,Life without parole,Yes,Life in prison/death,Murder,Male,b1,2
White,Not sentenced,No,Probation/not sentenced/unknown,Murder,Male,b1,0
Black,60 years,No,Some prison sentence,Child Sex Abuse,Male,b2,10
Black,12 to Life,No,Some prison sentence,Sexual Assault,Male,b1,3
White,60 years,No,Some prison sentence,Murder,Female,b1,16
White,6 years,No,Some prison sentence,"Attempt, Violent",Male,b3,3
Black,17 to 32 years,No,Some prison sentence,Attempted Murder,Male,b1,2
Black,7 to life,No,Some prison sentence,Murder,Male,b1,26
Black,50 years,No,Some prison sentence,Sexual Assault,Male,b1,21
White,Life without parole,Yes,Life in prison/death,Murder,Male,b1,6
Black,Life,Yes,Life in prison/death,Murder,Male,b1,19
White,Life,Yes,Life in prison/death,Murder,Male,b1,15
Black,15 years,No,Some prison sentence,Manslaughter,Male,b1,7
Black,30 to life,No,Some prison sentence,Murder,Male,b1,26
White,20 years,No,Some prison sentence,Sexual Assault,Male,b1,30
White,Probation,No,Probation/not sentenced/unknown,Drug Possession or Sale,Male,b5,1
White,11 years and 4 months,No,Some prison sentence,Drug Possession or Sale,Male,b5,2
Black,Life,Yes,Life in prison/death,Murder,Male,b1,4
Black,Not sentenced,No,Probation/not sentenced/unknown,Drug Possession or Sale,Male,b5,3
White,Death,Yes,Life in prison/death,Murder,Male,b1,14
White,Probation,No,Probation/not sentenced/unknown,Arson,Male,b2,3
Black,3 years,No,Some prison sentence,Child Sex Abuse,Male,b2,2
White,Death,Yes,Life in prison/death,Murder,Male,b1,7
Black,25 to Life,No,Some prison sentence,Murder,Male,b1,8
Black,Life without parole,Yes,Life in prison/death,Murder,Male,b1,32
Black,Life,Yes,Life in prison/death,Murder,Male,b1,23
